Site Num,Latitude,Longitude,State,Time Zone,Annual NO2 Average
8_4,30.262604,-93.285084,LA,America/Chicago,6.34724560381646
8_5,42.19438,-72.555112,MA,America/New_York,3.5083682131825924
8_6,32.726656,-103.122917,NM,America/Denver,4.381560077472837
8_7,39.965278,-76.699444,PA,America/New_York,7.126814160652313
8_8,43.54792,-96.700769,SD,America/Chicago,5.410939617010443
8_9,37.103733,-76.387017,VA,America/New_York,3.1369082121008023
8_10,40.46542,-79.960757,PA,America/New_York,
2_1,37.936013,-122.026154,CA,America/Los_Angeles,5.130265577499337
2_2,34.1365,-117.92391,CA,America/Los_Angeles,14.896669372059549
2_3,39.751184,-104.987625,CO,America/Denver,15.690206579030734
2_4,39.240278,-105.983056,CO,America/Denver,
2_5,33.6878,-84.2905,GA,America/New_York,8.956973213342552
2_6,39.396075,-89.809739,IL,America/Chicago,2.0649337818563303
2_7,37.47689,-97.366399,KS,America/Chicago,3.0520405735482474
2_8,30.315406,-90.811383,LA,America/Chicago,1.9426349460661605
2_9,39.70595,-79.012,MD,America/New_York,1.935635209181422
2_10,42.348873,-71.097163,MA,America/New_York,9.89344198491883
2_11,47.8679,-104.676944,MT,America/Denver,1.0348374555456614
2_12,39.934559,-75.125219,NJ,America/New_York,10.335920404534727
2_13,35.4325,-79.2887,NC,America/New_York,
2_14,47.5812,-103.2995,ND,America/Chicago,1.226612582817834
2_15,47.185833,-101.428056,ND,America/North_Dakota/Center,1.9583508818933026
2_16,39.835556,-75.3725,PA,America/New_York,7.49363266152512
2_17,32.669001,-94.167468,TX,America/Chicago,2.1383023223522883
2_18,40.294178,-110.009732,UT,America/Denver,4.495285495858915
2_19,41.206321,-111.975524,UT,America/Denver,14.021920289855071
2_20,43.608056,-72.982778,VT,America/New_York,5.469702220874418
2_21,37.34438,-77.25925,VA,America/New_York,3.8068974783048453
1002_1,38.006311,-121.641918,CA,America/Los_Angeles,4.150432802243387
1002_2,37.950741,-121.268523,CA,America/Los_Angeles,10.680434812486352
1002_3,45.13768,-93.207615,MN,America/Chicago,6.13205791562779
1002_4,40.731645,-74.066308,NJ,America/New_York,17.818590730572012
1002_5,32.80581,-97.356529,TX,America/Chicago,8.755817944185031
1002_6,42.373499,-109.560498,WY,America/Denver,1.1852710275051745
1004_1,37.9604,-122.356811,CA,America/Los_Angeles,6.473341093348766
1004_2,40.77678,-124.17949,CA,America/Los_Angeles,1.9041296342286615
1004_3,36.31567,-119.643447,CA,America/Los_Angeles,8.354832505391746
1004_4,34.10374,-117.62914,CA,America/Los_Angeles,14.85248300170637
1004_5,37.30389,-107.484167,CO,America/Denver,0.9885131504736191
1004_6,46.933754,-96.85535,ND,America/Chicago,3.768898954854452
1004_7,29.520443,-95.392509,TX,America/Chicago,5.760726887911566
1004_8,40.46471,-109.561472,UT,America/Denver,2.98718797027699
1004_9,37.28342,-79.88452,VA,America/New_York,4.733062469466675
2007_0,37.743649,-121.934188,CA,America/Los_Angeles,5.276230087090165
242_0,36.841592,-119.874739,CA,America/Los_Angeles,6.6715201651725335
2016_0,36.710833,-119.7775,CA,America/Los_Angeles,20.44279738343857
4001_1,36.597442,-119.503659,CA,America/Los_Angeles,6.972039319374885
4001_2,40.341389,-111.713611,UT,America/Denver,8.016640782623684
5001_1,36.819449,-119.716433,CA,America/Los_Angeles,8.302591610706173
5001_2,33.92513,-117.95264,CA,America/Los_Angeles,12.310329158687518
5001_3,33.85275,-116.54101,CA,America/Los_Angeles,6.319370964566459
1005_1,40.71528,-124.20139,CA,America/Los_Angeles,
1005_2,32.380118,-104.262726,NM,America/Denver,4.718730561849998
1005_3,36.796667,-108.473138,NM,America/Denver,2.6913700177196205
1005_4,39.02473,-77.48925,VA,America/New_York,4.818373056686045
1003_1,32.79222,-115.56306,CA,America/Los_Angeles,6.764642484094676
1003_2,36.694261,-121.623271,CA,America/Los_Angeles,3.7524674040455515
1003_3,41.784722,-72.631667,CT,America/New_York,6.7892557089769285
1003_4,39.60996,-110.800749,UT,America/Denver,1.8874952753869525
1003_5,41.303614,-111.987871,UT,America/Denver,7.4708707115544115
1003_6,47.241153,-119.847824,WA,America/Los_Angeles,
1003_7,37.961578,-121.281414,CA,America/Los_Angeles,15.939861248353095
14_1,35.356615,-119.062613,CA,America/Los_Angeles,10.900647596963788
14_2,35.856111,-78.574167,NC,America/New_York,5.007320907459298
14_3,40.747796,-80.316442,PA,America/New_York,7.23759557548632
14_4,30.354944,-97.761803,TX,America/Chicago,4.286520804558671
14_5,44.4762,-73.2106,VT,America/New_York,4.644137355529019
14_6,37.55652,-77.40027,VA,America/New_York,6.54650133180657
2012_0,35.331612,-118.999961,CA,America/Los_Angeles,12.112333369952998
6001_0,35.503587,-119.272606,CA,America/Los_Angeles,8.420029219088908
16_1,34.14435,-117.85036,CA,America/Los_Angeles,9.582059072119208
16_2,42.108992,-72.590803,MA,America/New_York,
16_3,38.75264,-90.44884,MO,America/Chicago,9.730001392663553
16_4,39.525083,-119.807717,NV,America/Los_Angeles,11.225658212362118
16_5,32.482083,-97.026899,TX,America/Chicago,4.139923208671368
113_1,34.05111,-118.45636,CA,America/Los_Angeles,9.748408740128621
113_2,27.955133,-82.469532,FL,America/New_York,9.32978612950757
1103_0,34.06659,-118.22688,CA,America/Los_Angeles,17.09898379583293
1201_0,34.19925,-118.53276,CA,America/Los_Angeles,10.480816420149495
1302_0,33.901389,-118.205,CA,America/Los_Angeles,13.620576938499667
1602_0,34.01029,-118.0685,CA,America/Los_Angeles,17.712684047243304
1701_0,34.06703,-117.7514,CA,America/Los_Angeles,18.588233434813446
2005_1,34.1326,-118.1272,CA,America/Los_Angeles,13.682790288467155
2005_2,44.230622,-69.785,ME,America/New_York,2.2381514676208614
2005_3,40.598056,-111.894167,UT,America/Denver,13.635966606853039
2005_4,42.241229,-70.963346,MA,America/New_York,3.5567925247902354
4006_0,33.8025,-118.22,CA,America/Los_Angeles,16.66878065063115
4008_0,33.859662,-118.200707,CA,America/Los_Angeles,23.58032469981238
5005_0,33.95507,-118.43049,CA,America/Los_Angeles,8.0735371962423
6012_0,34.38344,-118.5284,CA,America/Los_Angeles,9.692615492995126
9033_0,34.669739,-118.130511,CA,America/Los_Angeles,7.82354631927586
4_1,36.867125,-120.010158,CA,America/Los_Angeles,5.922700801980928
4_2,38.278849,-122.275024,CA,America/Los_Angeles,4.712304979084022
4_3,38.102507,-122.237976,CA,America/Los_Angeles,6.344512261923723
4_4,38.403765,-122.818294,CA,America/Los_Angeles,3.210175932229042
4_5,38.53445,-121.7734,CA,America/Los_Angeles,4.163771391948459
4_6,30.229653,-90.965628,LA,America/Chicago,6.331621597675668
4_7,40.64144,-74.208365,NJ,America/New_York,17.289477534876596
4_8,48.64193,-102.4018,ND,America/Chicago,1.7789355394737054
4_9,47.342423,-102.645864,ND,America/Denver,2.0409897849038137
4_10,47.298611,-101.766944,ND,America/North_Dakota/Beulah,2.5384405895091944
4_11,40.902967,-111.884467,UT,America/Denver,9.54188079001188
4_12,40.600532,-112.353414,UT,America/Denver,2.939140917006061
4_13,43.87483,-106.50974,WY,America/Denver,0.8030174624079421
4_14,43.02421,-108.3637,WY,America/Denver,3.415966035042664
4_15,41.783083,-110.53788,WY,America/Denver,3.7254097824041112
1_1,37.97231,-122.520004,CA,America/Los_Angeles,6.746232500000535
1_2,34.89398,-117.024804,CA,America/Los_Angeles,13.66143882387035
1_3,32.631242,-117.059088,CA,America/Los_Angeles,7.781947244111783
1_4,38.770081,-99.763424,KS,America/Chicago,1.294615492033459
1_5,30.500642,-91.213556,LA,America/Chicago,7.717100778017216
1_6,44.310555,-84.891865,MI,America/Detroit,0.8007819327041771
1_7,39.474976,-91.788991,MO,America/Chicago,1.501042632343139
1_8,45.440295,-105.370283,MT,America/Denver,0.8189150167363245
1_9,45.366151,-106.48982,MT,America/Denver,0.7552520519663135
1_10,39.92002,-77.30968,PA,America/New_York,1.3158444418789363
1_11,43.74561,-101.941218,SD,America/Denver,0.5387190253600355
1_12,42.751518,-96.707208,SD,America/Chicago,2.34989944788178
1_13,32.378696,-94.711813,TX,America/Chicago,3.0269046000834687
3_1,37.281853,-120.433671,CA,America/Los_Angeles,6.562179413432317
3_2,38.310942,-122.296189,CA,America/Los_Angeles,
3_3,39.138773,-121.618549,CA,America/Los_Angeles,5.856075882624382
3_4,33.698643,-84.272614,GA,America/New_York,14.833022046999398
3_5,37.67696,-95.47594,KS,America/Chicago,2.4134519863113755
3_6,40.720989,-74.192892,NJ,America/New_York,13.343576595031466
3_7,46.825425,-100.76821,ND,America/Chicago,4.103000170764954
3_8,47.3132,-102.5273,ND,America/Denver,
3_9,47.940861,-101.571583,ND,America/Chicago,1.8890217264711957
3_10,42.14175,-80.038611,PA,America/New_York,3.9713526350695503
3_11,32.882289,-79.977538,SC,America/New_York,5.898117011481151
3_12,41.492707,-112.018863,UT,America/Denver,3.737734588926735
3_13,38.47753,-78.81952,VA,America/New_York,8.250301750406257
3_14,41.08536,-104.52277,WY,America/Denver,2.6260363544915215
3_15,44.52612,-109.01673,WY,America/Denver,1.9519015586331863
3_16,36.511708,-77.655389,NC,America/New_York,1.410939655633709
6_1,38.74643,-121.26498,CA,America/Los_Angeles,6.249851040475729
6_2,38.613779,-121.368014,CA,America/Los_Angeles,5.444373836453931
6_3,37.338135,-121.849783,CA,America/Los_Angeles,13.193242786464182
6_4,37.488317,-120.836008,CA,America/Los_Angeles,8.127199919185154
6_5,40.086944,-108.761389,CO,America/Denver,1.9945578184050783
6_6,40.695078,-92.006318,IA,America/Chicago,1.452837119374516
6_7,39.14313,-76.84611,MD,America/New_York,14.938800760100035
6_8,30.378287,-88.53393,MS,America/Chicago,3.613592645409485
6_9,47.048537,-109.455315,MT,America/Denver,0.5670106544205622
6_10,40.67025,-74.126081,NJ,America/New_York,13.959511088616404
6_11,39.9679,-80.7464,OH,America/New_York,5.495702611515849
6_12,44.80353,-106.961763,WY,America/Denver,
6_13,18.422595,-66.120012,PR,America/Puerto_Rico,
